"id_number";"log_type";"data";"server_datetime";"FK_USUARIO_nickname"
"3560";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":1,""respuesta"":""3"",""tipo"":""checkbox""}}";"2019-10-15 15:23:40";"usuario78"
"3561";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":2,""respuesta"":""sexualidad\nets\ncuidado\n"",""tipo"":""text""}}";"2019-10-15 15:23:40";"usuario78"
"3562";"click_pagina";"{""id_desafio"":3,""data"":{""pagina"":3}}";"2019-10-15 15:23:41";"usuario81"
"3563";"click_enviar_pretest_confirmado";;"2019-10-15 15:23:41";"usuario78"
"3564";"pagination";"{""id_desafio"":1,""data"":{""pagina"":1}}";"2019-10-15 15:23:41";"usuario78"
"3565";"click_SERP_titulo";"{""id_desafio"":2,""data"":{""url"":""http://la.network/como-reducir-el-crimen-a-traves-del-diseno-urbano/"",""id_SERP"":74}}";"2019-10-15 15:23:42";"usuario80"
"3566";"click_guardar";"{""id_desafio"":3,""data"":{""texto"":""guardado"",""id_SERP"":130}}";"2019-10-15 15:23:42";"usuario82"
"3567";"click_entrar";"{""id_desafio"":4}";"2019-10-15 15:23:42";"usuario57"
"3568";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":130}}";"2019-10-15 15:23:43";"usuario82"
"3569";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 15:23:43";"usuario57"
"3570";"click_guardar";"{""id_desafio"":2,""data"":{""texto"":""guardado"",""id_SERP"":74}}";"2019-10-15 15:23:44";"usuario80"
"3571";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":134}}";"2019-10-15 15:23:45";"usuario50"
"3572";"click_guardar";"{""id_desafio"":3,""data"":{""texto"":""guardado"",""id_SERP"":134}}";"2019-10-15 15:23:45";"usuario50"
"3573";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":121}}";"2019-10-15 15:23:45";"usuario82"
"3574";"click_guardar";"{""id_desafio"":3,""data"":{""texto"":""guardado"",""id_SERP"":121}}";"2019-10-15 15:23:46";"usuario82"
"3575";"click_pagina";"{""id_desafio"":3,""data"":{""pagina"":2}}";"2019-10-15 15:23:46";"usuario81"
"3576";"cerrar_pagina";"53b81931-";"2019-10-15 15:23:46";"usuario103"
"3577";"click_guardar";"{""id_desafio"":2,""data"":{""texto"":""guardado"",""id_SERP"":73}}";"2019-10-15 15:23:47";"usuario80"
"3578";"click_finalizar_desafio";"{""id_desafio"":3}";"2019-10-15 15:23:47";"usuario50"
"3579";"click_pagina";"{""id_desafio"":3,""data"":{""pagina"":5}}";"2019-10-15 15:23:48";"usuario82"
"3580";"click_SERP_ver";"{""id_desafio"":2,""data"":{""url"":""https://blogs.iadb.org/efectividad-desarrollo/es/10-principios-para-la-prevencion-del-crimen/"",""id_SERP"":73}}";"2019-10-15 15:23:48";"usuario80"
"3581";"click_finalizar_desafio_confirmado";"{""id_desafio"":3}";"2019-10-15 15:23:48";"usuario50"
"3582";"click_pagina";"{""id_desafio"":1,""data"":{""pagina"":5}}";"2019-10-15 15:23:49";"usuario103"
"3583";"click_pagina";"{""id_desafio"":1,""data"":{""pagina"":2}}";"2019-10-15 15:23:50";"usuario78"
"3584";"click_finalizar_desafio";"{""id_desafio"":1}";"2019-10-15 15:23:50";"usuario103"
"3585";"click_recomendar";"{""id_desafio"":2,""data"":{""texto"":""recomendado"",""id_SERP"":73}}";"2019-10-15 15:23:50";"usuario80"
"3586";"click_pagina";"{""id_desafio"":1,""data"":{""pagina"":3}}";"2019-10-15 15:23:50";"usuario78"
"3587";"click_finalizar_desafio_confirmado";"{""id_desafio"":1}";"2019-10-15 15:23:51";"usuario103"
"3588";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":135}}";"2019-10-15 15:23:51";"usuario82"
"3589";"click_guardar";"{""id_desafio"":3,""data"":{""texto"":""guardado"",""id_SERP"":135}}";"2019-10-15 15:23:51";"usuario82"
"3590";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":136}}";"2019-10-15 15:23:52";"usuario82"
"3591";"click_guardar";"{""id_desafio"":3,""data"":{""texto"":""guardado"",""id_SERP"":136}}";"2019-10-15 15:23:52";"usuario82"
